Date,Open,High,Low,Close,Volume
1/15/2024 15:30:00,139.55,139.85,132.85,133.4,53570266
1/16/2024 15:30:00,135,135.3,131,133.55,47043428
1/17/2024 15:30:00,132.4,132.4,126.75,127.4,76780526
1/18/2024 15:30:00,128.05,129.8,121.6,129.45,111946831
1/19/2024 15:30:00,130.5,135.5,128,135.05,81155018
1/23/2024 15:30:00,136.3,137.3,127,130.1,72520625
1/24/2024 15:30:00,131.45,136.9,129.8,136.2,54612769
1/25/2024 15:30:00,135.9,138.2,132.8,136.15,60682540
1/29/2024 15:30:00,136.9,137.7,132.35,135.55,55871017
1/30/2024 15:30:00,135.85,138.8,134.65,137.2,57612020
1/31/2024 15:30:00,140,142,138,139.55,89833027
2/1/2024 15:30:00,141,143.5,138.55,140.55,70252449
2/2/2024 15:30:00,141.8,145,141.45,143.8,78666454
2/5/2024 15:30:00,145,145.4,138.25,140.25,54189688
2/6/2024 15:30:00,140.4,141.8,138.05,139.95,46782951
2/7/2024 15:30:00,141,142.9,139.65,140.4,75083259
2/8/2024 15:30:00,142.5,147.5,139,144.1,184839649
2/9/2024 15:30:00,146.9,151.4,142.25,149.45,257918995
2/12/2024 15:30:00,151,158.8,149.5,153.8,155848102
2/13/2024 15:30:00,154.35,157.9,149,154.75,79935680
2/14/2024 15:30:00,152.95,153.75,150.1,152.25,38221083
2/15/2024 15:30:00,157,159.2,154,154.85,77367585
2/16/2024 15:30:00,156.9,160,155.35,156.7,61209337
2/19/2024 15:30:00,157.45,160.45,155.6,157.5,60218202
2/20/2024 15:30:00,159.7,163.8,158.7,161.05,85356675
2/21/2024 15:30:00,162.3,167.8,157.6,158.65,91140945
2/22/2024 15:30:00,159.55,163,156.6,162.1,67614848
2/23/2024 15:30:00,162.4,164.8,160.8,164.05,37200710
2/26/2024 15:30:00,165.2,168.5,163.15,164.2,33433566
2/27/2024 15:30:00,163.75,163.85,158,161.3,29921497
2/28/2024 15:30:00,161.9,161.95,155.35,159.35,41883110
2/29/2024 15:30:00,156.45,168.85,155.45,165.45,175785440
3/1/2024 15:30:00,168,173.5,165.6,166.5,42587331
3/4/2024 15:30:00,168,175.6,168,169.8,55751426
3/5/2024 15:30:00,170.75,171.5,164.05,165.85,29313864
3/6/2024 15:30:00,164.4,164.4,157.5,161.55,95621548
3/7/2024 15:30:00,161.75,163.45,158.65,160,43685238
3/11/2024 15:30:00,161,163.2,149,154.85,51519591
3/12/2024 15:30:00,156.6,157.9,152.15,156.9,31159766
3/13/2024 15:30:00,157.45,158.25,147.5,148.65,53202095
3/14/2024 15:30:00,147.1,157.3,144.3,152.75,45708365
3/15/2024 15:30:00,152.85,161.7,152.45,160.05,95085427
3/18/2024 15:30:00,162.5,164.45,157.25,158.25,35382756
3/19/2024 15:30:00,158.6,161.45,156.5,157.95,24847687
3/20/2024 15:30:00,159.45,166.7,159,165.6,45544054
3/21/2024 15:30:00,168,171,166.4,169.65,42227967
3/22/2024 15:30:00,170.45,174.9,169.05,174.2,41776494
3/26/2024 15:30:00,173.4,183.65,172.2,182.6,64590292
3/27/2024 15:30:00,183.6,189,177.2,179.45,50528769
3/28/2024 15:30:00,179.8,184.7,176,182.1,42567446
4/1/2024 15:30:00,183.9,188.2,182.75,184.5,20789208
4/2/2024 15:30:00,185,185,180.75,183.1,36346394
4/3/2024 15:30:00,181.95,182,177.85,178.3,24268721
4/4/2024 15:30:00,180.5,188.15,180.25,187,52772054
4/5/2024 15:30:00,188.25,191.8,187.25,190.5,35235139
4/8/2024 15:30:00,191.6,194,190.55,191.8,23092887
4/9/2024 15:30:00,192.55,195.5,188.75,193.7,30824719
4/10/2024 15:30:00,195,199.6,194.05,196.9,35141522
4/12/2024 15:30:00,195.85,199.7,190.5,192.1,56543869
